期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024033,2,"[6, 10, 11, 18, 20, 32]",5,97,8,"[6, 0, 7]","[4, 7, 2]","[5, 8, 7, 4, 3, 2]","[1, 2, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 0, 2, 2]"
2024034,4,"[2, 9, 12, 19, 21, 31]",4,94,5,"[9, 2, 7]","[7, 7, 0]","[6, 9, 6, 3, 3, 2]","[4, 4, 2]","[0, 2, 3, 4, 6, 7, 9]","[2, 0, 0, 1, 0, 1]"
2024035,7,"[5, 7, 14, 17, 22, 32]",6,97,8,"[7, 5, 3]","[2, 3, 0]","[8, 2, 5, 4, 3, 2]","[1, 2, 1]","[0, 1, 2, 3, 4, 5, 7, 8]","[2, 1, 2, 2, 1, 2]"
2024036,2,"[2, 8, 9, 12, 21, 31]",2,83,8,"[9, 3, 3]","[6, 3, 0]","[0, 9, 8, 5, 2, 1]","[5, 3, 3]","[0, 1, 2, 3, 5, 6, 8, 9]","[2, 2, 0, 0, 0, 1]"
2024037,4,"[1, 4, 5, 6, 12, 14]",13,42,7,"[3, 8, 1]","[3, 1, 2]","[1, 9, 7, 6, 2, 2]","[0, 2, 2]","[0, 1, 2, 3, 6, 7, 8, 9]","[1, 1, 2, 0, 0, 2]"
2024038,7,"[8, 10, 18, 23, 27, 31]",2,117,7,"[3, 7, 5]","[2, 5, 4]","[3, 0, 5, 4, 3, 2]","[3, 2, 1]","[0, 1, 2, 3, 4, 5, 7]","[2, 1, 0, 2, 0, 1]"
2024039,2,"[2, 6, 12, 29, 30, 31]",10,110,9,"[9, 4, 7]","[4, 7, 1]","[4, 7, 8, 2, 2, 2]","[2, 0, 2]","[0, 1, 2, 4, 7, 8, 9]","[2, 0, 0, 2, 0, 1]"
2024040,4,"[11, 14, 18, 19, 23, 26]",2,111,4,"[5, 9, 1]","[3, 1, 3]","[9, 6, 5, 4, 3, 3]","[3, 1, 3]","[1, 3, 4, 5, 6, 9]","[2, 2, 0, 1, 2, 2]"
2024041,7,"[2, 9, 12, 22, 25, 33]",16,103,7,"[1, 6, 0]","[7, 0, 8]","[0, 0, 7, 3, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 6, 7, 8]","[2, 0, 0, 1, 1, 0]"
2024042,2,"[2, 4, 5, 14, 26, 32]",14,83,9,"[0, 2, 9]","[2, 9, 6]","[0, 9, 5, 4, 2, 1]","[5, 3, 3]","[0, 1, 2, 3, 4, 5, 6, 9]","[2, 1, 2, 2, 2, 2]"
2024043,4,"[4, 6, 7, 14, 15, 24]",8,70,6,"[0, 9, 7]","[2, 7, 9]","[6, 0, 9, 4, 3, 1]","[4, 0, 2]","[0, 1, 2, 3, 4, 6, 7, 9]","[1, 0, 1, 2, 0, 0]"
2024044,7,"[2, 6, 17, 25, 32, 33]",6,115,8,"[1, 6, 8]","[4, 8, 1]","[6, 8, 5, 3, 2, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 8]","[2, 0, 2, 1, 2, 0]"
2024045,2,"[2, 8, 19, 23, 24, 26]",3,102,10,"[4, 6, 4]","[6, 4, 2]","[0, 1, 4, 3, 3, 2]","[0, 2, 2]","[0, 1, 2, 3, 4, 6]","[2, 2, 1, 2, 0, 2]"
2024046,4,"[2, 6, 10, 11, 17, 29]",15,75,9,"[7, 1, 1]","[4, 1, 2]","[6, 1, 6, 5, 3, 1]","[3, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7]","[2, 0, 1, 2, 2, 2]"
2024047,7,"[7, 8, 21, 26, 29, 30]",15,121,8,"[3, 1, 5]","[1, 5, 1]","[6, 4, 4, 3, 3, 3]","[1, 1, 1]","[1, 3, 4, 5, 6]","[1, 2, 0, 2, 2, 0]"
2024048,2,"[2, 9, 15, 19, 26, 28]",2,99,7,"[6, 7, 4]","[7, 4, 2]","[8, 0, 5, 4, 2, 2]","[3, 4, 3]","[0, 2, 3, 4, 5, 6, 7, 8]","[2, 0, 0, 1, 2, 1]"
2024049,4,"[12, 15, 17, 23, 26, 32]",11,125,6,"[0, 1, 6]","[3, 6, 6]","[9, 7, 6, 4, 3, 2]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0, 0, 2, 2, 2, 2]"
2024050,7,"[1, 3, 7, 10, 22, 33]",2,76,10,"[2, 9, 3]","[2, 3, 1]","[5, 4, 9, 6, 2, 1]","[4, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 0, 1, 1, 1, 0]"
2024051,2,"[5, 9, 13, 20, 23, 28]",6,98,7,"[3, 4, 7]","[4, 7, 5]","[8, 9, 6, 3, 3, 2]","[2, 3, 2]","[2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 2, 1]"
2024052,4,"[7, 10, 11, 15, 17, 21]",3,81,6,"[4, 7, 4]","[3, 4, 4]","[0, 7, 6, 4, 3, 2]","[3, 1, 1]","[0, 1, 2, 3, 4, 6, 7]","[1, 1, 2, 0, 2, 0]"
2024053,7,"[7, 14, 21, 22, 28, 33]",7,125,7,"[6, 4, 1]","[7, 1, 5]","[6, 7, 4, 4, 3, 2]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]","[1, 2, 0, 1, 1, 0]"
2024054,2,"[8, 13, 20, 25, 31, 32]",3,129,6,"[4, 8, 5]","[5, 5, 1]","[5, 8, 5, 4, 3, 3]","[3, 4, 1]","[1, 3, 4, 5, 8]","[2, 1, 2, 1, 1, 2]"
2024055,4,"[2, 4, 6, 7, 16, 29]",3,64,9,"[7, 2, 1]","[2, 1, 3]","[1, 5, 9, 8, 3, 1]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[2, 1, 0, 1, 1, 2]"
2024056,7,"[5, 18, 20, 24, 25, 26]",6,118,7,"[1, 7, 4]","[3, 4, 1]","[2, 5, 4, 3, 3, 3]","[4, 3, 2]","[1, 2, 3, 4, 5, 7]","[2, 0, 2, 0, 1, 2]"
2024057,2,"[3, 8, 17, 18, 23, 31]",8,100,7,"[8, 5, 1]","[5, 1, 8]","[2, 1, 4, 4, 3, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 5, 8]","[0, 2, 2, 0, 2, 1]"
2024058,4,"[8, 12, 13, 17, 27, 29]",13,106,8,"[1, 5, 4]","[4, 4, 2]","[2, 7, 7, 5, 2, 2]","[4, 1, 2]","[1, 2, 4, 5, 7]","[2, 0, 1, 2, 0, 2]"
2024059,7,"[1, 3, 14, 25, 31, 33]",7,107,7,"[2, 8, 1]","[2, 1, 2]","[6, 4, 6, 3, 2, 2]","[5, 2, 3]","[1, 2, 3, 4, 5, 6, 8]","[1, 0, 2, 1, 1, 0]"
2024060,2,"[1, 2, 6, 10, 22, 28]",15,69,9,"[7, 0, 4]","[1, 4, 6]","[8, 3, 0, 5, 2, 1]","[3, 4, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 0, 1, 1, 1]"
2024061,4,"[1, 9, 18, 22, 25, 28]",2,103,9,"[7, 6, 4]","[8, 4, 3]","[2, 0, 4, 3, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 4, 6, 7, 8]","[1, 0, 0, 1, 1, 1]"
2024062,7,"[1, 7, 10, 16, 18, 27]",16,79,5,"[6, 1, 6]","[6, 6, 9]","[8, 0, 6, 3, 3, 1]","[1, 4, 3]","[0, 1, 3, 4, 6, 8, 9]","[1, 1, 1, 1, 0, 0]"
2024063,2,"[7, 14, 16, 23, 28, 32]",4,120,6,"[5, 4, 7]","[7, 7, 4]","[6, 7, 6, 4, 3, 2]","[0, 0, 0]","[0, 2, 3, 4, 5, 6, 7]","[1, 2, 1, 2, 1, 2]"
2024064,4,"[6, 8, 17, 18, 28, 30]",5,107,5,"[4, 0, 1]","[2, 1, 2]","[6, 2, 5, 4, 2, 2]","[5, 2, 3]","[0, 1, 2, 3, 4, 5, 6]","[0, 2, 2, 0, 1, 0]"
2024065,7,"[3, 5, 9, 10, 19, 22]",14,68,10,"[9, 4, 1]","[2, 1, 3]","[1, 2, 6, 5, 2, 2]","[2, 3, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[0, 2, 0, 1, 1, 1]"
2024066,2,"[8, 9, 12, 22, 26, 32]",13,109,7,"[4, 7, 0]","[1, 0, 6]","[2, 1, 8, 3, 3, 2]","[1, 4, 1]","[0, 1, 2, 3, 4, 6, 7, 8]","[2, 0, 0, 1, 2, 2]"
2024067,4,"[1, 11, 13, 17, 25, 29]",3,96,6,"[8, 4, 4]","[0, 4, 4]","[5, 7, 6, 4, 2, 2]","[0, 1, 0]","[0, 1, 2, 4, 5, 6, 7, 8]","[1, 2, 1, 2, 1, 2]"
2024068,7,"[1, 2, 7, 19, 20, 21]",1,70,6,"[0, 8, 2]","[1, 2, 1]","[9, 4, 9, 2, 2, 2]","[4, 0, 2]","[0, 1, 2, 4, 8, 9]","[1, 2, 1, 1, 2, 0]"
